dt;treatment_flag;gross_amt_base;gross_amt_cross;gross_amt_other;unit_cnt_base;unit_cnt_cross;unit_cnt_other
30-07-2019;control;164038815.0;41069840.0;58314631.0;4621.0;2501.0;661.0
31-07-2019;control;143275000.0;36929233.0;49989917.0;4657.0;2043.0;764.0
01-08-2019;control;139982043.0;23767500.0;32628754.0;5180.0;1677.0;466.0
02-08-2019;control;168540074.0;34786539.0;52220728.0;4310.0;2370.0;545.0
03-08-2019;control;124585718.0;17752061.0;35085657.0;3704.0;506.0;247.0
04-08-2019;control;68867517.0;11614851.0;24159871.0;1667.0;306.0;423.0
05-08-2019;control;166987321.0;46795587.0;52079922.0;6790.0;3805.0;656.0
06-08-2019;control;180653042.0;40771139.0;67214910.0;6661.0;2423.0;1278.0
07-08-2019;control;88103757.0;15837228.0;42688781.0;1180.0;917.0;275.0
08-08-2019;control;156990179.0;31008364.0;36857550.0;5106.0;1481.0;542.0
09-08-2019;control;148524835.0;39782873.0;47609954.0;7216.0;2981.0;457.0
10-08-2019;control;116662399.0;56361101.0;31350878.0;2832.0;3678.0;210.0
11-08-2019;control;55775650.0;7840469.0;20155500.0;625.0;223.0;156.0
12-08-2019;control;177180439.0;33925670.0;52292651.0;7369.0;3093.0;570.0
13-08-2019;control;157828378.0;27121042.0;64921577.0;4495.0;1634.0;897.0
14-08-2019;control;166748387.0;41010730.0;57756936.0;3799.0;2786.0;566.0
15-08-2019;control;156343791.0;29933369.0;61639994.0;5018.0;2106.0;642.0
16-08-2019;control;154516163.0;32372338.0;55152735.0;3926.0;1996.0;617.0
17-08-2019;control;102079852.0;17978730.0;18209452.0;3008.0;1166.0;237.0
18-08-2019;control;69968092.0;7024803.0;23348505.0;869.0;280.0;310.0
19-08-2019;control;75057193.0;10844086.0;28120329.0;1819.0;537.0;171.0
20-08-2019;control;156331628.0;37004035.0;60858999.0;4671.0;2456.0;631.0
21-08-2019;control;153193175.0;33176505.0;52825553.0;4613.0;3036.0;1746.0
22-08-2019;control;190393404.0;37553336.0;55774073.0;7209.0;3649.0;608.0
23-08-2019;control;164118945.0;44178761.0;73796170.0;7038.0;2154.0;691.0
24-08-2019;control;146159500.0;12844322.0;27234688.0;3188.0;1013.0;291.0
25-08-2019;control;82252571.0;14536308.0;34738231.0;1065.0;866.0;190.0
26-08-2019;control;174482548.0;36621992.0;52188030.0;6397.0;2699.0;567.0
27-08-2019;control;175234689.0;28528819.0;63503576.0;4492.0;1796.0;506.0
28-08-2019;control;199738082.0;43288189.0;62537136.0;4995.0;2477.0;571.0
29-08-2019;control;155942110.0;36295846.0;60821926.0;4612.0;3008.0;846.0
30-08-2019;control;176693490.0;45277443.0;48215158.0;9499.0;3754.0;596.0
31-08-2019;control;135655635.0;33361415.0;41360583.0;6382.0;2546.0;377.0
01-09-2019;control;127630596.0;26892351.0;37031997.0;1619.0;1580.0;875.0
02-09-2019;control;235192259.0;49065693.0;62215255.0;17337.0;2648.0;594.0
03-09-2019;control;156357582.0;43358919.0;50361984.0;4286.0;4593.0;461.0
04-09-2019;control;172975789.0;38734725.0;48089131.0;5938.0;2153.0;342.0
05-09-2019;control;136793200.0;39116702.0;41453280.0;6614.0;2849.0;497.0
06-09-2019;control;136408533.0;31103783.0;47425362.0;6096.0;1993.0;438.0
07-09-2019;control;86945310.0;32450968.0;34276126.0;2738.0;2216.0;547.0
08-09-2019;control;55982344.0;12156333.0;18049561.0;2271.0;959.0;224.0
